data,precipitacao
01/10/2019,0
02/10/2019,0
03/10/2019,0
04/10/2019,0
05/10/2019,0.6
06/10/2019,6.8
07/10/2019,0.2
08/10/2019,0
09/10/2019,0
10/10/2019,0
11/10/2019,0
12/10/2019,0
13/10/2019,2
14/10/2019,0
15/10/2019,0.4
16/10/2019,0.4
17/10/2019,0.4
18/10/2019,0
19/10/2019,6.8
20/10/2019,0
21/10/2019,12.8
22/10/2019,0.4
23/10/2019,0
24/10/2019,0
25/10/2019,0
26/10/2019,0
27/10/2019,0
28/10/2019,0
29/10/2019,0
30/10/2019,0
31/10/2019,0
01/11/2019,0
02/11/2019,0
03/11/2019,0
04/11/2019,0
05/11/2019,0
06/11/2019,0
07/11/2019,38.8
08/11/2019,1
09/11/2019,0
10/11/2019,10.4
11/11/2019,4.6
12/11/2019,0
13/11/2019,7
14/11/2019,17.4
15/11/2019,0
16/11/2019,0
17/11/2019,0
18/11/2019,0
19/11/2019,0
20/11/2019,0
21/11/2019,0
22/11/2019,0
23/11/2019,0
24/11/2019,0
25/11/2019,7.6
26/11/2019,19.6
27/11/2019,3.6
28/11/2019,39
29/11/2019,0.4
30/11/2019,0.2
01/12/2019,0
02/12/2019,0.4
03/12/2019,2.2
04/12/2019,15.4
05/12/2019,36.2
06/12/2019,1.2
07/12/2019,0.2
08/12/2019,0
09/12/2019,26.6
10/12/2019,0
11/12/2019,2.8
12/12/2019,0
13/12/2019,1.4
14/12/2019,0.2
15/12/2019,2
16/12/2019,27
17/12/2019,4.8
18/12/2019,0.6
19/12/2019,4.6
20/12/2019,0
21/12/2019,26
22/12/2019,6
23/12/2019,0.2
24/12/2019,0
25/12/2019,32.8
26/12/2019,0
27/12/2019,12.4
28/12/2019,42
29/12/2019,2
30/12/2019,1.8
31/12/2019,33.4
01/01/2020,0.2
02/01/2020,7.4
03/01/2020,0
04/01/2020,0
05/01/2020,0
06/01/2020,1.8
07/01/2020,22.4
08/01/2020,1.8
09/01/2020,0
10/01/2020,0.4
11/01/2020,0
12/01/2020,12.4
13/01/2020,1.2
14/01/2020,7.8
15/01/2020,0.6
16/01/2020,0
17/01/2020,5.4
18/01/2020,2.2
19/01/2020,0.6
20/01/2020,0
21/01/2020,0
22/01/2020,40.8
23/01/2020,22.2
24/01/2020,11
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,26.2
31/01/2020,0.4
01/02/2020,48.2
02/02/2020,0
03/02/2020,20.2
04/02/2020,0.2
05/02/2020,3.2
06/02/2020,0
07/02/2020,3.2
08/02/2020,3.8
09/02/2020,0
10/02/2020,0.8
11/02/2020,2.2
12/02/2020,4.8
13/02/2020,2.2
14/02/2020,0
15/02/2020,0
16/02/2020,1.2
17/02/2020,0
18/02/2020,0
19/02/2020,18
20/02/2020,59.2
21/02/2020,21.4
22/02/2020,0
23/02/2020,0
24/02/2020,2
25/02/2020,3.6
26/02/2020,32.8
27/02/2020,0.2
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,4.4
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,2.4
20/03/2020,34.8
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,0
27/03/2020,0
28/03/2020,31.4
29/03/2020,7.2
30/03/2020,0
31/03/2020,0
01/04/2020,0
02/04/2020,0
03/04/2020,0
04/04/2020,0
05/04/2020,0
06/04/2020,0
07/04/2020,44.8
08/04/2020,0
09/04/2020,0
10/04/2020,0
11/04/2020,0
12/04/2020,0
13/04/2020,0
14/04/2020,45.4
15/04/2020,0
16/04/2020,0
17/04/2020,0
18/04/2020,0
19/04/2020,0
20/04/2020,0
21/04/2020,0
22/04/2020,0
23/04/2020,0
24/04/2020,0
25/04/2020,0
26/04/2020,0
27/04/2020,0
28/04/2020,0
29/04/2020,0
30/04/2020,0
